# Descriptor tail for the Figure 4 interim plan. FROM BENCHMARK PROPERTIES ONLY; no answer-key input. Rule: population = the 9,167 coordinate-distinct representatives (lexicographically first coreid per group, benchmark/frozen/coord_keys.json), minus the 6 sealed exclusion-set structures; take the 1,000 highest helium void fraction (vf_he), then add every remaining structure with largest cavity diameter d_max > 15 Angstrom. Descriptors from /home1/users/Bei/recon/out/c00-c39.csv (geom.py: vf_he = fraction of cell where a He probe centre fits; d_max = 2*max min_i(|r-r_i|-sigma_i/2)). RECORDED BEFORE ANY RUN. Skip this line.
n,structure_id,vf_he,d_max,selected_by
299,2013[Zn][nan]3[ASR]9,0.67659,16,vf_he_top1000
300,2013[Zn][nts]3[ASR]1,0.375008,15.8758,vf_he_top1000
301,2013[Zn][pbz]3[ASR]1,0.640347,16,vf_he_top1000
302,2013[Zn][pcu]3[ASR]15,0.58219,13.6662,vf_he_top1000
303,2013[Zn][pcu]3[ASR]5,0.489237,14.2448,vf_he_top1000
304,2013[Zn][pcu]3[ASR]6,0.498232,14.7828,vf_he_top1000
305,2013[Zn][pto]3[ASR]1,0.492037,16,vf_he_top1000
306,2013[Zr][flu]3[ASR]1,0.573505,16,vf_he_top1000
307,2013[Zr][reo]3[ASR]1,0.442748,16,vf_he_top1000
308,2013[Zr][reo]3[ASR]2,0.4451,16,vf_he_top1000
309,2013[Zr][reo]3[ASR]3,0.442929,16,vf_he_top1000
310,2013[Zr][sqc]3[ASR]1,0.403701,10.8184,vf_he_top1000
311,2014[Ag][mtn]3[ASR]2,0.323912,16,vf_he_top1000
312,2014[Co][nan]3[ASR]22,0.341333,10.8988,vf_he_top1000
313,2014[Co][nan]3[ASR]23,0.347556,11.0012,vf_he_top1000
314,2014[Co][nan]3[ASR]24,0.344,10.9214,vf_he_top1000
315,2014[Co][nan]3[ASR]25,0.349333,11.0951,vf_he_top1000
316,2014[Co][nan]3[ASR]26,0.347556,11.0348,vf_he_top1000
317,2014[Co][nan]3[ASR]27,0.351111,11.1281,vf_he_top1000
318,2014[Co][nan]3[ASR]28,0.341333,10.8588,vf_he_top1000
319,2014[Co][nan]3[ASR]6,0.354667,11.3966,vf_he_top1000
320,2014[Co][nan]3[ASR]7,0.356444,11.4184,vf_he_top1000
321,2014[Co][nan]3[ASR]8,0.358222,11.6503,vf_he_top1000
322,2014[Co][sra]3[ASR]1,0.399369,9.19618,vf_he_top1000
323,2014[Cu][lvt]3[ASR]1,0.419697,8.99222,vf_he_top1000
