# Uniform random sample for the Figure 4 interim plan. seed=20260903; population = 9,167 coordinate-distinct groups of the frozen 12,499 (benchmark/frozen/coord_keys.json); representative = lexicographically first coreid in each group; draw = python random.Random(20260903).sample(sorted(reps), 1500). RECORDED BEFORE ANY RUN. Skip this line.
n,structure_id
574,2013[Zn][nan]3[FSR]12
575,2013[Zn][nan]3[FSR]34
576,2013[Zn][nan]3[FSR]5
577,2013[Zn][pcu]3[ASR]5
578,2013[Zn][pcu]3[ASR]6
579,2013[Zn][pts]3[ASR]3
580,2013[Zn][rtl]3[ASR]5
581,2013[Zn][rtl]3[ION]1
582,2013[Zn][sod]3[ASR]1
583,2013[Zn][sod]3[ASR]3
584,2013[Zn][ths]3[ASR]12
585,2013[Zn][ths]3[ASR]3
586,2013[Zn][ths]3[ASR]6
587,2013[Zn][ths]3[ASR]7
588,2013[Zn][ths]3[ASR]8
589,2013[Zn][uni]3[ASR]5
590,2013[Zn][uni]3[ASR]9
591,2013[Zn][uni]3[FSR]11
592,2013[Zr][nan]3[ASR]1
593,2013[Zr][reo]3[ASR]2
594,2014[Ag][mtn]3[ASR]2
595,2014[Al][nan]3[ASR]5
596,2014[Cd][dmp]3[ASR]1
597,2014[Cd][nan]3[ASR]13
598,2014[Cd][nan]3[FSR]16
599,2014[Cd][nan]3[FSR]5
600,2014[Cd][pcu]3[ASR]6
601,2014[Cd][pcu]3[ASR]7
602,2014[Cd][pcu]3[FSR]2
603,2014[Cd][pts]3[ASR]2
604,2014[Cd][rtl]3[ASR]1
605,2014[Cd][rtl]3[FSR]1
606,2014[Ce][nan]3[ASR]1
607,2014[Ce][nan]3[ASR]2
608,2014[CoPr][pcu]3[ION]1
609,2014[Co][acs]3[ASR]1
610,2014[Co][bcg]3[ASR]1
611,2014[Co][bcu]3[ASR]1
612,2014[Co][dia]3[ASR]1
613,2014[Co][nan]3[ASR]11
614,2014[Co][nan]3[ASR]15
615,2014[Co][nan]3[ASR]16
616,2014[Co][nan]3[ASR]25
617,2014[Co][nan]3[ASR]6
618,2014[Co][nan]3[FSR]4
619,2014[CrMn][nan]3[ASR]1
620,2014[CuLa][flt]3[ASR]1
621,2014[CuTm][nan]3[ASR]1
622,2014[Cu][acs]3[ASR]5
623,2014[Cu][acs]3[FSR]3
624,2014[Cu][bcu]3[ASR]3
625,2014[Cu][bcu]3[ASR]5
626,2014[Cu][dia]3[ASR]1
627,2014[Cu][dia]3[ASR]3
628,2014[Cu][dia]3[ASR]4
629,2014[Cu][dia]3[ASR]7
630,2014[Cu][nan]3[ASR]1
631,2014[Cu][nan]3[ASR]20
632,2014[Cu][nan]3[ASR]21
633,2014[Cu][nan]3[ASR]26
634,2014[Cu][nan]3[ASR]3
635,2014[Cu][nan]3[ASR]6
636,2014[Cu][pcu]3[ION]1
637,2014[Cu][pts]3[ASR]1
638,2014[Cu][tbo]3[ASR]13
639,2014[Cu][tbo]3[ASR]8
640,2014[Er][vmd]3[ASR]1
641,2014[Eu][esg]3[ASR]1
642,2014[Eu][nan]3[ASR]4
643,2014[Eu][nan]3[ASR]8
644,2014[Eu][nan]3[FSR]7
645,2014[Fe][acs]3[ASR]2
646,2014[Fe][nan]3[ASR]9
647,2014[Ga][bpq]3[ASR]1
648,2014[GdCu][nan]3[FSR]1
649,2014[Gd][fsc]3[ASR]1
650,2014[In][nan]3[ASR]1
651,2014[In][nan]3[ASR]3
652,2014[In][unc]3[ASR]1
653,2014[La][nan]3[ASR]1
654,2014[Mg][nan]3[ASR]4
655,2014[Mn][nan]3[ASR]12
656,2014[Mn][nan]3[ASR]14
657,2014[Nd][flu]3[ASR]1
658,2014[Ni][nan]2[FSR]1
659,2014[Ni][nan]3[ASR]6
